customer_zip_code_prefix,pedidos_count,avg_ticket,median_ticket,avg_delivery_days,unique_customers,lat_med,lng_med
22790,142,156.02035211267605,101.9,16.46323529411765,142,-23.014294742166268,-43.46413167283893
24220,124,146.50553719008263,93.0,14.808695652173913,124,-22.90316625284208,-43.10713068500763
22793,121,141.88181818181818,86.9,20.732758620689655,121,-23.001664514859417,-43.40383953802869
24230,117,146.15974358974358,118.13,13.846153846153847,117,-22.90600354640406,-43.10546782889948
22775,110,156.25166666666667,79.985,15.524271844660195,110,-22.970894018595992,-43.38784233625709
29101,101,106.86267326732673,72.9,16.16,101,-20.342467507877814,-40.28566821952616
13212,95,172.55170212765958,89.8,8.054347826086957,95,-23.18300381820934,-46.96922804883066
35162,93,112.31666666666668,93.0,12.119565217391305,93,-19.46970149792253,-42.562507159587966
22631,89,177.6425,79.0,13.576470588235294,89,-23.004214031623405,-43.335593643632045
38400,87,141.40176470588236,110.0,10.058823529411764,87,-18.914980232586977,-48.27813616348312
35500,86,170.10535714285714,104.445,10.395061728395062,86,-20.14068469699654,-44.88753081910666
36570,84,187.55261904761906,87.85,10.831325301204819,84,-20.75533341719481,-42.88055185516512
37200,83,160.21385542168676,105.0,15.4375,83,-21.24481728187358,-44.99836509644241
13214,82,144.7411111111111,85.5,8.7375,82,-23.160985042991708,-46.917868021668745
11030,81,138.57024691358026,86.9,8.592592592592593,81,-23.98479796586644,-46.300849044480685
11065,80,116.72025641025641,84.2,9.35897435897436,80,-23.966109471002326,-46.342983916995166
11740,80,132.99037974683543,93.6,10.58108108108108,80,-24.179855538627187,-46.79049637055164
28970,77,223.36610389610388,80.0,17.216216216216218,77,-22.869815753171125,-42.329823876168525
11680,76,117.11618421052631,67.425,12.36111111111111,76,-23.441645336112845,-45.077753319947206
13087,76,155.98684210526315,74.2,7.5131578947368425,76,-22.854677050233725,-47.05197199708997
7600,75,121.16506666666666,79.9,7.706666666666667,75,-23.322352248071105,-46.58973137816835
20541,74,93.88810810810811,59.8,12.13888888888889,74,-22.922355824860112,-43.24398668180498
20540,74,182.30554054054056,99.85,13.67123287671233,74,-22.92258733473174,-43.24244568124239
29102,73,226.5249315068493,89.69999999999999,16.12676056338028,73,-20.374072683597397,-40.30532998337161
36400,73,113.02671232876713,79.9,14.211267605633802,73,-20.660955301151265,-43.78585877930211
20550,72,110.58619718309859,84.0,14.633802816901408,72,-22.91768636469216,-43.231241920278116
24210,72,113.45263888888888,69.4,11.652173913043478,72,-22.902127847625383,-43.12463807063305
35700,71,151.95271428571428,112.4,12.014285714285714,71,-19.45930795389748,-44.24801919373313
39400,71,150.64788732394365,90.0,10.757142857142858,71,-16.7224226128167,-43.86324095489327
22795,71,129.10323943661973,99.9,15.588235294117647,71,-23.02187989307062,-43.46365439966753
11075,70,100.78260869565217,75.0,7.36231884057971,70,-23.9552663782965,-46.33825949705917
38408,68,116.43073529411765,89.80000000000001,11.223880597014926,68,-18.9239008462404,-48.25008947100231
13060,68,109.88363636363636,65.45,13.215384615384615,68,-22.93106051096427,-47.111613736896366
37701,67,139.96876923076923,98.9,10.129032258064516,67,-21.788259192047157,-46.565584849600626
22753,67,182.25,113.98,20.51923076923077,67,-22.971588385030664,-43.33006828639565
30140,66,131.96212121212122,82.4,10.969696969696969,66,-19.930871148479472,-43.93471710629582
88330,65,169.73984615384614,127.99,13.838709677419354,65,-26.993432999999943,-48.634162435885465
20520,65,128.58125,85.695,16.125,65,-22.92541928296553,-43.232072863400354
36900,65,132.96875,101.365,11.015625,65,-20.25624491956578,-42.03398861864435
30130,65,130.6365625,108.0,11.421875,65,-19.931520729672776,-43.93375589840736
13050,63,109.70920634920635,77.8,11.065573770491802,63,-22.93904555398464,-47.0948806120887
13070,63,106.1284126984127,59.9,8.079365079365079,63,-22.8935112964107,-47.0800242164147
35900,63,114.62984126984128,89.99,12.278688524590164,63,-19.629852923974376,-43.22384359497725
38600,63,133.81603174603174,105.0,11.67741935483871,63,-17.223373086135236,-46.87518788782276
22250,61,150.2136842105263,83.99,15.290909090909091,61,-22.941046165690945,-43.17617823078362
21321,60,162.54101694915255,92.5,13.350877192982455,60,-22.8961984228604,-43.35568746796124
24240,60,115.23416666666667,79.45,11.305084745762711,60,-22.89790805002283,-43.0995147477723
13820,60,151.4208474576271,102.8,7.741379310344827,60,-22.69515790939998,-46.987014376493164
33400,59,142.38932203389828,89.9,10.413793103448276,59,-19.63863100472473,-43.90171846264042
41830,58,190.441724137931,119.24000000000001,15.56140350877193,58,-13.002814446015355,-38.46387616648835
13040,58,123.17175438596492,89.9,7.196428571428571,58,-22.93941799056493,-47.0590556692833
35400,57,122.52785714285713,79.45,13.581818181818182,57,-20.386870311646724,-43.506711008289
22451,56,170.23232142857142,94.995,13.678571428571429,56,-22.978469157654736,-43.23383336857298
9371,56,106.84232142857142,63.050000000000004,5.642857142857143,56,-23.670394104622392,-46.47515734762539
22290,56,132.40732142857144,105.445,10.321428571428571,56,-22.95459806717061,-43.17731169269164
13348,55,123.55418181818183,79.0,8.592592592592593,55,-23.11980850582838,-47.23840103788447
22710,55,126.32509090909092,84.99,19.45098039215686,55,-22.933631577298154,-43.37647022788376
30320,55,150.54000000000002,107.99,10.909090909090908,55,-19.970868116609125,-43.93993252477061
38610,54,126.39611111111111,82.65,12.37037037037037,54,-16.36196685190559,-46.898106210100984
29090,54,146.69481481481483,111.16,13.377358490566039,54,-20.260231292259995,-40.268254195560345
35300,54,163.84500000000003,89.945,11.61111111111111,54,-19.78940073534656,-42.140715891552524
90010,54,127.2137037037037,80.945,12.407407407407407,54,-30.03336443104038,-51.23063954079865
15600,53,140.47283018867924,88.0,9.23076923076923,53,-20.283955823330007,-50.24895240386773
12243,53,119.04622641509434,89.97,8.42,53,-23.20414980599,-45.89810482431184
37550,53,152.11622641509433,99.99,10.86,53,-22.23227830780992,-45.93435440552749
30190,53,94.80576923076923,69.99000000000001,9.173076923076923,53,-19.923338955306185,-43.9480192209302
20551,53,136.19886792452832,85.0,14.942307692307692,53,-22.914400672773947,-43.24563020413756
22230,53,146.38076923076923,95.65,13.653846153846153,53,-22.937430121847743,-43.176862902706524
11070,52,147.2556862745098,98.81,9.92156862745098,52,-23.95691508031017,-46.34623532292687
11702,52,149.47634615384615,69.945,12.92,52,-24.014540409660096,-46.43840702622771
39401,52,140.26884615384617,98.245,10.192307692307692,52,-16.726438713451063,-43.87534930197928
30310,52,129.9413725490196,105.0,10.591836734693878,52,-19.947433295314173,-43.928925768249734
21330,52,168.48211538461538,105.97,14.9,52,-22.882376409414437,-43.363361678169646
98700,52,107.39326923076922,77.5,14.403846153846153,52,-28.38881031932184,-53.91661502287606
22780,51,147.64529411764707,99.9,16.458333333333332,51,-22.964288895954525,-43.402024304605
