category,qty_sold,avg_price,avg_freight,estimated_cost_unit,realized_margin_unit,current_revenue_total,current_margin_total,price_elasticity,sim_price_inc_5pct,sim_qty_inc_5pct,sim_margin_unit_inc_5pct,sim_margin_total_inc_5pct,delta_margin_total_inc_5pct,sim_price_inc_10pct,sim_qty_inc_10pct,sim_margin_unit_inc_10pct,sim_margin_total_inc_10pct,delta_margin_total_inc_10pct
beleza_saude,9670,130.16353050672183,18.879703205791106,71.80412865563501,39.47969864529571,1258681.34,381768.6859000095,-0.02664883671383327,136.67170703205792,9657.435225324209,45.98787517063181,444124.9256106722,62356.23971066269,143.17988355739402,9645.470279372663,52.49605169596791,506349.10641786933,124580.4205178598
relogios_presentes,5991,201.13598397596394,16.7811600734435,110.10078930875595,74.2540345937645,1205005.68,444855.92125124315,-0.2877810153975509,211.19278317476216,5907.46886777425,84.31083379256272,498063.6258456534,53207.70459441026,221.24958237356034,5828.909206550961,94.3676329913609,550060.3647437658,105204.44349252264
cama_mesa_banho,11115,93.29632748538012,18.415928025191185,54.55919178664269,20.321207673546233,1036988.68,225870.2232914664,-0.15474024372601125,97.96114385964913,11031.39993101312,24.986024047815242,275630.8239573612,49760.60066589483,102.62596023391814,10952.275325542496,29.65084042208425,324744.1679363914,98873.94464492498
esporte_lazer,8641,114.34428538363615,19.512499710681634,64.43822001537747,30.393565657577042,988048.97,262630.8008471232,-0.034054371928529066,120.06149965281796,8626.654740287473,36.11077992675885,311515.230830652,48884.4299835288,125.77871392199977,8612.999127852781,41.82799419594066,360264.47752946813,97633.67668234493
informatica_acessorios,7827,116.51390315574294,18.821781014437203,64.0262254939652,33.66589664734053,911954.32,263502.9730587343,-0.10723506464540612,122.33959831353009,7786.1559491128155,39.49159180512768,307487.69247342984,43984.719414695515,128.16529347131726,7747.41083337545,45.31728696291485,351091.6399556706,87588.66689693625
moveis_decoracao,8334,87.56449364050876,20.728257739380847,50.850068957565476,15.98616694356243,729762.49,133228.71530764928,-0.09629939273275331,91.9427183225342,8294.934852794095,20.364391625587878,168921.30185103707,35692.58654338779,96.32094300455964,8257.857906641942,24.74261630761331,204321.00970683244,71092.29439918316
utilidades_domesticas,6964,90.78814761631247,20.986374210224007,53.5769053428206,16.22486806326787,632248.66,112989.98119259745,-0.03458012291438287,95.3275549971281,6952.260455085537,20.764275444083488,144358.6510484053,31368.66985580785,99.86696237794372,6941.0855678973885,25.303682824899106,175635.0276705602,62645.04647796275
cool_stuff,3796,167.357968914647,22.138856691253952,100.21505970242661,45.004052520966425,635290.85,170835.38336958856,-0.08260868965221436,175.72586736037934,3780.7310455183183,53.371950966698776,201784.99197967947,30949.608610090916,184.0937658061117,3766.229738462427,61.73984941243113,232526.4569052901,61691.07353570155
automotivo,4235,139.9575230224321,21.880569067296342,79.11509949237113,38.961854462764634,592720.11,165003.45364980822,-0.04957136602157745,146.9553991735537,4224.769626362211,45.95973061388624,194169.27393333602,29165.820283527806,153.95327532467533,4215.038275920864,52.95760676500787,223218.33951567384,58214.885865865625
brinquedos,4117,117.54836045664318,18.806400291474375,67.78753234169127,30.95442782347753,483946.6,127439.379349257,-0.03262329888854907,123.42577847947534,4110.452199557863,36.83184584630969,151395.54177273982,23956.16242348282,129.30319650230751,4104.218759029216,42.709263869141864,175288.16195606077,47848.78260680377
ferramentas_jardim,4347,111.63019553715206,22.765757994018863,68.12139581936631,20.74304172376688,485256.46,90170.00237321462,-0.08698917382626707,117.21170531400966,4328.589489463872,26.324551500624494,113948.17694045359,23778.174567238966,122.79321509086728,4311.108217991097,31.90606127748211,137550.48297708065,47380.48060386603
perfumaria,3419,116.73731207955542,15.856636443404502,64.43335510147017,36.447320534680756,399124.87,124613.38890807351,0.05844927378848274,122.5741776835332,3428.764047793122,42.28418613865853,144982.49722242463,20369.10831435112,128.41104328751098,3438.0997532662304,48.12105174263631,165444.9761232694,40831.587215195905
bebes,3065,134.34417292006526,22.301177814029366,77.1029949484474,34.9400001575885,411764.89,107091.10048300875,-0.0922213799043684,141.06138156606852,3051.240023642219,41.65720880359176,127106.14277474018,20015.042291731428,147.7785902120718,3038.177816044691,48.37441744959504,146970.08195944485,39878.98147643611
telefonia,4545,71.21397799779977,15.669040704070406,38.53707042795797,17.007866865771398,323667.52999999997,77300.754904931,-0.04464728566539479,74.77467689768976,4535.110182179281,20.568565765661383,93280.71203667512,15979.957131744115,78.33537579757976,4525.700567905803,24.129264665551382,109201.82680003531,31901.07189510431
moveis_escritorio,1691,162.0110585452395,40.551123595505615,145.80995269071244,-24.350017740978544,273960.7,-41175.879999994715,-0.6316319286457519,170.1116114725015,1639.6825309743526,-16.24946481371657,-26643.963592733475,14531.91640726124,178.21216439976348,1592.2038364976524,-8.148911886454556,-12974.728768894267,28201.151231100448
papelaria,2517,91.75336909018674,18.592959872864522,54.20537477378072,18.955034443541493,230943.23,47709.82169439394,-0.05951408155056107,96.34103754469608,2509.7019833060285,23.542702898050834,59085.16815562276,11375.346461228823,100.92870599920542,2502.763242140967,28.130371352560175,70403.65940896289,22693.837714568952
pcs,203,1098.3405418719212,48.45467980295566,690.155590970558,359.73027109840746,222963.13,73025.24503297672,-0.07228992812093743,1153.2575689655173,202.28527257159485,414.6472981920035,83877.0417358448,10851.796702868087,1208.1745960591134,201.60614421596836,469.5643252855996,94667.05308220246,21641.808049225743
